"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","BOTANNIA","WEST COAST PARK","05","Non-landed Properties","3","3900","1200 to 1300","Sep-2018"
"2","HARBOURLIGHTS","TELOK BLANGAH ROAD","04","Non-landed Properties","2","2600","700 to 800","Sep-2018"
"3","SEAHILL","WEST COAST CRESCENT","05","Non-landed Properties","1","2650","700 to 800","Sep-2018"
"4","BANYAN CONDOMINIUM","CHWEE CHIAN ROAD","05","Non-landed Properties","na*","3300","1500 to 1600","Sep-2018"
"5","ONE-NORTH RESIDENCES","ONE-NORTH GATEWAY","05","Non-landed Properties","1","3200","600 to 700","Sep-2018"
"6","BLUE HORIZON","WEST COAST CRESCENT","05","Non-landed Properties","3","3400","1200 to 1300","Sep-2018"
"7","ICON","GOPENG STREET","02","Non-landed Properties","2","4500","900 to 1000","Sep-2018"
"8","MARINA ONE RESIDENCES","MARINA WAY","01","Non-landed Properties","1","3350","700 to 800","Sep-2018"
"9","THE ROCHESTER RESIDENCES","ROCHESTER DRIVE","05","Non-landed Properties","1","2800","800 to 900","Sep-2018"
"10","THE ANCHORAGE","ALEXANDRA ROAD","03","Non-landed Properties","2","3000","1100 to 1200","Sep-2018"
"11","MARINA BAY RESIDENCES","MARINA BOULEVARD","01","Non-landed Properties","2","5800","1100 to 1200","Sep-2018"
"12","THE CLIFT","MCCALLUM STREET","01","Non-landed Properties","1","3100","400 to 500","Sep-2018"
"13","REFLECTIONS AT KEPPEL BAY","KEPPEL BAY VIEW","04","Non-landed Properties","2","4300","1100 to 1200","Sep-2018"
"14","LUMIERE","MISTRI ROAD","02","Non-landed Properties","na*","2600","400 to 500","Sep-2018"
"15","THE SAIL @ MARINA BAY","MARINA BOULEVARD","01","Non-landed Properties","1","5000","600 to 700","Sep-2018"
"16","THE CLIFT","MCCALLUM STREET","01","Non-landed Properties","2","5000","700 to 800","Sep-2018"
"17","ALTEZ","ENGGOR STREET","02","Non-landed Properties","2","5000","800 to 900","Sep-2018"
"18","COMMONWEALTH TOWERS","COMMONWEALTH AVENUE","03","Non-landed Properties","1","2400","400 to 500","Sep-2018"
"19","FABER CREST","FABER HEIGHTS","05","Non-landed Properties","2","2400","1000 to 1100","Sep-2018"
