"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","BULLION PARK","LENTOR LOOP","Condominium","26","OCR","Freehold","Resale","1","860000","-","807","Strata","01 to 05","1065","Jan-2019"
"2","BUKIT REGENCY","UPPER BUKIT TIMAH VIEW","Condominium","21","RCR","Freehold","Resale","1","1190000","-","1055","Strata","06 to 10","1128","Jan-2019"
"3","HILLION RESIDENCES","JELEBU ROAD","Apartment","23","OCR","99 yrs lease commencing from 2013","Resale","1","760000","-","463","Strata","06 to 10","1642","Jan-2019"
"4","THE HILLSIDE","UPPER BUKIT TIMAH ROAD","Condominium","21","OCR","Freehold","Resale","1","1638000","-","1313","Strata","06 to 10","1247","Jan-2019"
"5","MAYFAIR GARDENS","RIFLE RANGE ROAD","Condominium","21","RCR","99 yrs lease commencing from 2018","New Sale","1","1105000","-","560","Strata","01 to 05","1974","Jan-2019"
"6","MAYFAIR GARDENS","RIFLE RANGE ROAD","Condominium","21","RCR","99 yrs lease commencing from 2018","New Sale","1","2040000","-","1130","Strata","01 to 05","1805","Jan-2019"
"7","LE QUEST","BUKIT BATOK STREET 41","Apartment","23","OCR","99 yrs lease commencing from 2016","New Sale","1","1426000","-","980","Strata","11 to 15","1456","Jan-2019"
"8","MAYFAIR GARDENS","RIFLE RANGE ROAD","Condominium","21","RCR","99 yrs lease commencing from 2018","New Sale","1","1122000","-","560","Strata","01 to 05","2005","Jan-2019"
"9","DAINTREE RESIDENCE","TOH TUCK ROAD","Condominium","21","RCR","99 yrs lease commencing from 2017","New Sale","1","1159000","-","710","Strata","01 to 05","1631","Jan-2019"
"10","GARDENVISTA","DUNEARN ROAD","Condominium","21","RCR","99 yrs lease commencing from 1999","Resale","1","1150000","-","850","Strata","06 to 10","1352","Jan-2019"
"11","CASTLE GREEN","YIO CHU KANG ROAD","Condominium","26","OCR","99 yrs lease commencing from 1993","Resale","1","1000000","-","1152","Strata","06 to 10","868","Jan-2019"
"12","MAYFAIR GARDENS","RIFLE RANGE ROAD","Condominium","21","RCR","99 yrs lease commencing from 2018","New Sale","1","2025000","-","1066","Strata","01 to 05","1900","Jan-2019"
"13","LE QUEST","BUKIT BATOK STREET 41","Apartment","23","OCR","99 yrs lease commencing from 2016","New Sale","1","1527000","-","1130","Strata","01 to 05","1351","Jan-2019"
"14","MAYFAIR GARDENS","RIFLE RANGE ROAD","Condominium","21","RCR","99 yrs lease commencing from 2018","New Sale","1","1483000","-","710","Strata","01 to 05","2087","Jan-2019"
"15","PARC ROSEWOOD","ROSEWOOD DRIVE","Condominium","25","OCR","99 yrs lease commencing from 2011","Resale","1","660000","-","603","Strata","01 to 05","1095","Jan-2019"
"16","LE QUEST","BUKIT BATOK STREET 41","Apartment","23","OCR","99 yrs lease commencing from 2016","New Sale","1","1135000","-","818","Strata","11 to 15","1387","Dec-2018"
"17","GARDENVISTA","DUNEARN ROAD","Condominium","21","RCR","99 yrs lease commencing from 1999","Resale","1","1770000","-","1346","Strata","01 to 05","1315","Dec-2018"
"18","BUKIT REGENCY","UPPER BUKIT TIMAH VIEW","Condominium","21","RCR","Freehold","Resale","1","1548000","-","1249","Strata","06 to 10","1240","Dec-2018"
"19","THE NEXUS","BUKIT TIMAH ROAD","Condominium","21","RCR","Freehold","Resale","1","1650000","-","947","Strata","01 to 05","1742","Dec-2018"
"20","THE STERLING","BUKIT TIMAH ROAD","Condominium","21","RCR","Freehold","Resale","1","1745000","-","1001","Strata","06 to 10","1743","Dec-2018"
"21","MI CASA","CHOA CHU KANG AVENUE 3","Condominium","23","OCR","99 yrs lease commencing from 2008","Resale","1","1150000","-","1292","Strata","16 to 20","890","Dec-2018"
"22","HILLSTA","PHOENIX ROAD","Condominium","23","OCR","99 yrs lease commencing from 2011","Resale","1","838000","-","753","Strata","01 to 05","1112","Dec-2018"
"23","GARDENVISTA","DUNEARN ROAD","Condominium","21","RCR","99 yrs lease commencing from 1999","Resale","1","1580000","-","1163","Strata","06 to 10","1359","Dec-2018"
