"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","3","3400","1400 to 1500","Sep-2018"
"2","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","3","3200","1400 to 1500","Sep-2018"
"3","1 CANBERRA","CANBERRA DRIVE","27","Executive Condominium","4","2600","1200 to 1300","Sep-2018"
"4","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","2000","500 to 600","Sep-2018"
"5","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","4600","1200 to 1300","Sep-2018"
"6","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","2100","500 to 600","Sep-2018"
"7","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","2200","500 to 600","Aug-2018"
"8","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","3","3300","1400 to 1500","Aug-2018"
"9","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","1","2100","700 to 800","Aug-2018"
"10","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","5800","1200 to 1300","Aug-2018"
"11","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1850","600 to 700","Aug-2018"
"12","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","4600","1200 to 1300","Aug-2018"
"13","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","2","2850","1100 to 1200","Aug-2018"
"14","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","4200","1200 to 1300","Aug-2018"
"15","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","2200","500 to 600","Aug-2018"
"16","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Jul-2018"
"17","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Jul-2018"
"18","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","2000","500 to 600","Jul-2018"
"19","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1900","500 to 600","Jul-2018"
"20","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","4000","1200 to 1300","Jul-2018"
"21","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Jul-2018"
"22","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","2060","500 to 600","Jul-2018"
"23","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1750","500 to 600","Jul-2018"
"24","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Jul-2018"
"25","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","2","2700","1000 to 1100","Jun-2018"
"26","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","3","3800","1500 to 1600","Jun-2018"
"27","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","4700","1200 to 1300","Jun-2018"
"28","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","2","2800","900 to 1000","Jun-2018"
"29","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1700","500 to 600","Jun-2018"
"30","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1600","500 to 600","Jun-2018"
"31","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Jun-2018"
"32","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","2","3000","1300 to 1400","Jun-2018"
"33","1 CANBERRA","CANBERRA DRIVE","27","Executive Condominium","3","1300","1000 to 1100","Jun-2018"
"34","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Jun-2018"
"35","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","3","3100","900 to 1000","Jun-2018"
"36","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","3","3000","1000 to 1100","Jun-2018"
"37","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1750","500 to 600","Jun-2018"
"38","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","3","3000","1200 to 1300","Jun-2018"
"39","1 CANBERRA","CANBERRA DRIVE","27","Executive Condominium","3","1500","1300 to 1400","Jun-2018"
"40","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","May-2018"
"41","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1750","500 to 600","May-2018"
"42","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","May-2018"
"43","1 MOULMEIN RISE","MOULMEIN RISE","11","Non-landed Properties","3","4200","1200 to 1300","May-2018"
"44","1 KING ALBERT PARK","KING ALBERT PARK","21","Non-landed Properties","2","2800","1100 to 1200","Apr-2018"
"45","# 1 SUITES","LORONG 20 GEYLANG","14","Non-landed Properties","1","2000","500 to 600","Apr-2018"
"46","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1800","500 to 600","Apr-2018"
"47","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","1850","500 to 600","Apr-2018"
"48","# 1 LOFT","LORONG 24 GEYLANG","14","Non-landed Properties","1","2000","500 to 600","Apr-2018"
