address,country,lat,long,
# 1 LOFT,Singapore,1.312877,103.883538,
# 1 SUITES,Singapore,1.312475,103.881544,
1 CANBERRA,Singapore,1.438165,103.830079,
1 KING ALBERT PARK,Singapore,1.336616,103.780255,
1 MOULMEIN RISE,Singapore,1.319188,103.847179,
1 NASSIM,Singapore,1.306917,103.826879,
10 SHELFORD,Singapore,1.32591,103.812499,
100 AM,Singapore,1.274929,103.843549,
105 LORONG G,Singapore,1.31822,103.913093,
11 AMBER ROAD,Singapore,1.299146,103.899208,
111 EMERALD HILL,Singapore,1.305099,103.839199,
16 @ AMBER,Singapore,1.299536,103.898841,
18 SHELFORD,Singapore,1.327314,103.812824,
18 WOODSVILLE,Singapore,1.329641,103.868131,
1919,Singapore,1.287066,103.853561,
2 RVG,Singapore,1.29645,103.834302,
21 ANDERSON,Singapore,1.312645,103.828526,
21 RICHARDS,Singapore,1.361946,103.881619,
26 NEWTON,Singapore,1.31569,103.841598,
28 IMPERIAL RESIDENCES,Singapore,1.311796,103.884863,
28 RC SUITES,Singapore,1.309843,103.852972,
28 SHELFORD,Singapore,1.329061,103.811764,
283 STUDIO,Singapore,1.295765,103.839925,
336 RIVER VALLEY,Singapore,1.29608,103.838509,
368 THOMSON,Singapore,1.327207,103.84183,
38 AMBER,Singapore,1.300745,103.900883,
38 I SUITES,Singapore,1.311811,103.896249,
3@PHILLIPS,Singapore,1.363765,103.874399,
3@SANDILANDS,Singapore,1.361879,103.878148,
3BHC,Singapore,1.356141,103.832438,
448@EAST COAST,Singapore,1.308736,103.913452,
57 @ KOVAN,Singapore,1.357461,103.880151,
6 DERBYSHIRE,Singapore,1.315806,103.846,
7 ON CHAPEL,Singapore,1.306956,103.907136,
76 SHENTON,Singapore,1.273423,103.845534,
70@TRURO,Singapore,1.3146,103.8489,
8 @ MOUNT SOPHIA,Singapore,1.301469,103.846242,
8 BASSEIN,Singapore,1.324074,103.848284,
8 FARRER SUITES,Singapore,1.31481,103.854756,
8 NAPIER,Singapore,1.306532,103.820487,
8 RAJA,Singapore,1.327178,103.843031,
8 RODYK,Singapore,1.29022,103.837657,
833 M B RESIDENCES,Singapore,1.302419,103.898341,
8@WOODLEIGH,Singapore,1.335912,103.869664,
8M RESIDENCES,Singapore,1.299179,103.888673,
91 MARSHALL,Singapore,1.306552,103.901119,
A TREASURE TROVE,Singapore,1.404799,103.899374,
AA CENTRE,Singapore,1.321259,103.870773,
AALTO,Singapore,1.298127,103.897511,
ACORN,Singapore,1.293772,103.841654,
ACTION THEATRE,Singapore,1.298372,103.850933,
ADANA @ THOMSON,Singapore,1.3696,103.8279,
ADAM GREEN,Singapore,1.330003,103.815001,
ADAM PARK CONDOMINIUM,Singapore,1.328432,103.813012,
ADAM PLACE,Singapore,1.32522,103.812887,
ADELPHI PARK ESTATE,Singapore,1.355358,103.830139,
ADRIA,Singapore,1.316448,103.84629,
ADVANCE APARTMENTS,Singapore,1.313961,103.883281,
AFFLUENCE COURT,Singapore,1.350263,103.883108,
AIRSTREAM,Singapore,1.327367,103.864012,
AIRVIEW PARK,Singapore,1.352083,103.819836,
ALANA,Singapore,1.388676,103.855518,
ALBA,Singapore,1.278168,103.842642,
ALEGRIA,Singapore,1.324181,103.841054,
ALESSANDREA,Singapore,1.290588,103.822515,
ALEX RESIDENCES,Singapore,1.290687,103.818793,
ALEXIS,Singapore,1.291317,103.807401,
ALIAS VILLAS,Singapore,1.352083,103.819836,
ALLAMANDA GROVE,Singapore,1.322642,103.794008,
ALLAN VILLE,Singapore,1.352083,103.819836,
ALLSWORTH PARK,Singapore,1.31986,103.781139,
ALPHA APARTMENTS,Singapore,1.312116,103.905517,
ALTEZ,Singapore,1.274429,103.844315,
AMANINDA,Singapore,1.32482,103.841289,
AMARA SHOPPING CENTRE,Singapore,1.274987,103.843578,
AMARANDA GARDENS,Singapore,1.349403,103.866738,
AMARYLLIS VILLE,Singapore,1.314808,103.841959,
AMBER PARK,Singapore,1.301037,103.899167,
AMBER POINT,Singapore,1.298897,103.898466,
AMBER RESIDENCES,Singapore,1.302811,103.900951,
AMBER SKYE,Singapore,1.299492,103.898181,
AMBERGLADES,Singapore,1.301783,103.900245,
AMPAS APARTMENT,Singapore,1.32632,103.851131,
AMPAS COURT,Singapore,1.326441,103.851594,
AN CHUAN BUILDING,Singapore,1.296213,103.854755,
ANCHORPOINT SHOPPING CENTRE,Singapore,1.288727,103.80518,
ANDERSON HOUSE,Singapore,1.312753,103.828838,
ANGSANA PARK,Singapore,1.346895,103.776243,
ANGSANA@21,Singapore,1.331288,103.874473,
ANGULLIA PARK RESIDENCES@ORCHARD,Singapore,1.303617,103.829239,
AO JIANG APARTMENTS,Singapore,1.352083,103.819836,
APARTMENT 8,Singapore,1.310343,103.83167,
APLETON VIEW,Singapore,1.319192,103.845842,
APOLLO GARDENS,Singapore,1.338546,103.958868,
AQUARINE GARDENS,Singapore,1.313587,103.928134,
AQUARIUS BY THE PARK,Singapore,1.337841,103.935692,
AQUENE,Singapore,1.314209,103.909251,
ARC AT TAMPINES,Singapore,1.350311,103.92864,
ARCHIPELAGO,Singapore,1.338271,103.920135,
ARDISIA GARDENS,Singapore,1.347706,103.877495,
ARDMORE II,Singapore,1.309272,103.82826,
ARDMORE PARK,Singapore,1.309536,103.828443,
ARDMORE RESIDENCE,Singapore,1.31002,103.828136,
ARDMORE THREE,Singapore,1.308378,103.828571,
AROOZOO CENTRE,Singapore,1.354759,103.883081,
ARTHUR 118,Singapore,1.29892,103.887605,
ARTHUR MANSIONS,Singapore,1.298865,103.887304,
ARTRA,Singapore,1.290085,103.81668,
ASCENT @ 456,Singapore,1.326574,103.848433,
ASCENTIA SKY,Singapore,1.290809,103.817067,
ASHLEY GREEN,Singapore,1.320649,103.784993,
ASIA GARDENS,Singapore,1.276071,103.838244,
ASIMONT VILLAS,Singapore,1.320442,103.835188,
ASPEN HEIGHTS,Singapore,1.294362,103.840402,
ASPEN LINQ,Singapore,1.352083,103.819836,
ASPEN LOFT,Singapore,1.314636,103.904692,
ASTON LODGE,Singapore,1.309782,103.877201,
ASTON MANSIONS,Singapore,1.313868,103.890477,
ASTON RESIDENCE,Singapore,1.380217,103.96444,
ASTOR,Singapore,1.328804,103.91295,
ASTOR GREEN,Singapore,1.317372,103.776761,
ASTORIA PARK,Singapore,1.321808,103.912082,
ASTRID MEADOWS,Singapore,1.318503,103.794859,
ASTRIDVILLE,Singapore,1.352083,103.819836,
ATELIER VILLAS,Singapore,1.381513,103.833174,
ATHENA VILLE,Singapore,1.312419,103.89457,
ATRIUM RESIDENCES,Singapore,1.313311,103.885895,
ATTITUDE AT KIM YAM,Singapore,1.295515,103.838971,
AURA 83,Singapore,1.310459,103.906406,
AURALIS,Singapore,1.309781,103.916033,
