"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","J GATEWAY","GATEWAY DRIVE","22","Non-landed Properties","1","2300","500 to 600","Oct-2018"
"2","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","4","3600","1300 to 1400","Oct-2018"
"3","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","2","2250","800 to 900","Oct-2018"
"4","CASPIAN","LAKESIDE DRIVE","22","Non-landed Properties","2","2800","900 to 1000","Oct-2018"
"5","THE MADEIRA","BUKIT BATOK STREET 31","23","Non-landed Properties","3","2400","1200 to 1300","Oct-2018"
"6","THE HILLFORD","JALAN JURONG KECHIL","21","Non-landed Properties","1","1700","300 to 400","Oct-2018"
"7","GRAND CHATEAU","JALAN RAJAWALI","21","Non-landed Properties","3","2300","1100 to 1200","Oct-2018"
"8","WOODHAVEN","WOODGROVE AVENUE","25","Non-landed Properties","2","2000","700 to 800","Oct-2018"
"9","THE MADEIRA","BUKIT BATOK STREET 31","23","Non-landed Properties","3","1150","1200 to 1300","Oct-2018"
"10","REGENT GROVE","CHOA CHU KANG NORTH 7","23","Non-landed Properties","3","2350","1100 to 1200","Oct-2018"
"11","HILLVIEW GREEN","HUME AVENUE","21","Non-landed Properties","4","3500","1700 to 1800","Oct-2018"
"12","THE LAKESHORE","JURONG WEST STREET 41","22","Non-landed Properties","3","3000","1100 to 1200","Oct-2018"
"13","MEADOWS @ PEIRCE","UPPER THOMSON ROAD","26","Non-landed Properties","3","3000","1200 to 1300","Oct-2018"
"14","HILLSTA","PHOENIX ROAD","23","Non-landed Properties","na*","1700","500 to 600","Oct-2018"
"15","THE CREEK @ BUKIT","TOH TUCK ROAD","21","Non-landed Properties","2","3100","1200 to 1300","Oct-2018"
"16","GARDENVISTA","DUNEARN ROAD","21","Non-landed Properties","3","3700","1100 to 1200","Oct-2018"
